EmployeeID,Tenure,Department,Role,MonthlyHours,LastPromotion,Salary,Attrition,RiskPercentage,Driver1,Driver2,Driver3
EMP0001,131,Engineering,Software Engineer,162,59,73166.9,1,51.9,Tenure,Market Competitiveness,MonthlyHours
EMP0002,15,HR,VP of HR,143,9,161940.96,0,30.9,Market Competitiveness,LastPromotion,Role Overload
EMP0003,23,Engineering,Software Engineer,170,5,66475.16,0,43.4,Salary,Tenure,LastPromotion
EMP0004,4,Operations,Operations Manager,206,2,110149.36,0,64.5,Salary,Tenure,Role Overload
EMP0005,94,Operations,Operations Specialist,182,51,56984.98,0,67.0,LastPromotion,Salary,Role Overload
EMP0006,55,Finance,Finance Manager,168,24,97239.86,0,44.1,Salary,Tenure,LastPromotion
EMP0007,26,Finance,Accountant,178,18,52308.16,1,38.6,LastPromotion,Salary,Market Competitiveness
EMP0008,63,Finance,Finance Manager,157,13,115493.76,0,34.4,Market Competitiveness,MonthlyHours,Tenure
EMP0009,37,Sales,Account Executive,146,31,72625.42,0,41.6,Tenure,MonthlyHours,Role Overload
EMP0010,1,Operations,Director of Operations,194,0,178332.03,1,68.9,Market Competitiveness,Salary,LastPromotion
EMP0011,96,Finance,Finance Manager,187,1,95154.7,0,37.7,Role Overload,Tenure,MonthlyHours
EMP0012,19,Engineering,Software Engineer,158,4,74885.35,0,24.8,Tenure,LastPromotion,Role Overload
EMP0013,10,HR,HR Generalist,154,0,71094.97,0,33.7,LastPromotion,Role Overload,MonthlyHours
EMP0014,93,HR,HR Generalist,178,2,65691.63,0,44.1,Tenure,Market Competitiveness,Role Overload
EMP0015,46,Operations,Operations Specialist,169,22,55043.33,1,56.2,Market Competitiveness,Role Overload,Salary
EMP0016,52,Operations,Operations Specialist,160,45,62670.26,0,64.9,Market Competitiveness,Salary,Tenure
EMP0017,49,Operations,Operations Specialist,157,5,63734.45,0,73.9,Salary,Tenure,LastPromotion
EMP0018,6,Marketing,VP of Marketing,185,1,181780.16,1,43.7,Tenure,LastPromotion,Role Overload
EMP0019,115,Sales,Account Executive,197,43,53567.06,0,80.3,Tenure,Salary,Market Competitiveness
EMP0020,11,Marketing,Marketing Manager,176,7,123850.36,0,28.6,Tenure,Role Overload,MonthlyHours
EMP0021,33,Finance,VP of Finance,191,32,166357.68,0,49.8,Salary,LastPromotion,Tenure
EMP0022,66,Operations,Operations Manager,161,30,115185.04,0,33.5,Tenure,LastPromotion,Market Competitiveness
EMP0023,18,Marketing,Growth Hacker,153,13,75204.09,0,40.6,Market Competitiveness,Tenure,MonthlyHours
EMP0024,5,Sales,Sales Manager,174,2,97410.05,0,42.0,Tenure,Salary,Market Competitiveness
EMP0025,111,Sales,Sales Representative,169,30,58224.84,0,36.8,Tenure,Salary,MonthlyHours
EMP0026,144,HR,Recruiter,169,29,68251.78,0,37.1,Tenure,Role Overload,Market Competitiveness
EMP0027,1,Marketing,Marketing Specialist,180,0,69090.92,0,50.2,LastPromotion,Market Competitiveness,Role Overload
EMP0028,72,Sales,VP of Sales,181,17,169061.65,0,42.0,Tenure,LastPromotion,MonthlyHours
EMP0029,5,Marketing,Marketing Specialist,141,4,64060.15,0,57.0,MonthlyHours,Salary,Market Competitiveness
EMP0030,63,Marketing,Marketing Manager,151,26,121312.21,0,56.2,Tenure,MonthlyHours,Role Overload
EMP0031,9,HR,HR Manager,178,8,105945.83,0,27.3,Market Competitiveness,Salary,Tenure
EMP0032,27,Engineering,Engineering Manager,182,8,98421.83,1,48.7,Market Competitiveness,Tenure,Role Overload
EMP0033,15,HR,VP of HR,165,13,162126.24,0,30.3,Market Competitiveness,MonthlyHours,Salary
EMP0034,10,Engineering,Staff Engineer,177,2,129038.36,0,20.1,Market Competitiveness,MonthlyHours,Role Overload
EMP0035,2,Engineering,Engineering Manager,173,0,96677.43,0,62.3,Market Competitiveness,LastPromotion,Salary
EMP0036,27,Marketing,Growth Hacker,146,9,58974.73,0,41.0,Salary,Market Competitiveness,Role Overload
EMP0037,32,Engineering,Staff Engineer,176,16,134943.29,0,44.5,MonthlyHours,Role Overload,Salary
EMP0038,1,Operations,Operations Specialist,180,0,77003.71,0,25.2,Tenure,MonthlyHours,Salary
EMP0039,3,Sales,Sales Representative,208,2,61488.02,0,61.3,LastPromotion,Salary,Tenure
EMP0040,5,Operations,Operations Specialist,157,3,60476.16,1,42.4,MonthlyHours,Salary,Market Competitiveness
EMP0041,14,Operations,Operations Manager,182,13,130564.51,0,31.5,Salary,LastPromotion,Tenure
EMP0042,85,Operations,Director of Operations,184,34,172006.96,0,49.5,Tenure,Salary,MonthlyHours
EMP0043,24,Finance,VP of Finance,182,16,167996.68,0,34.9,Tenure,Market Competitiveness,Salary
EMP0044,17,Operations,Operations Specialist,185,4,62629.11,0,39.8,LastPromotion,Salary,MonthlyHours
EMP0045,12,Finance,Financial Analyst,188,7,76277.51,1,34.0,Salary,MonthlyHours,Market Competitiveness
EMP0046,71,Operations,Operations Manager,157,52,117740.04,0,74.0,Tenure,LastPromotion,MonthlyHours
EMP0047,113,Finance,Financial Analyst,198,56,59852.45,0,99.9,Tenure,Salary,Role Overload
EMP0048,42,HR,Recruiter,173,10,57732.55,0,59.6,MonthlyHours,Salary,Role Overload
EMP0049,54,Marketing,VP of Marketing,175,24,142312.83,0,40.2,Market Competitiveness,Tenure,Salary
EMP0050,64,Marketing,Marketing Manager,174,20,122968.37,0,40.8,Salary,LastPromotion,Tenure
EMP0051,13,Sales,Account Executive,176,4,72059.41,0,46.0,Role Overload,Tenure,Salary
EMP0052,3,Engineering,Software Engineer,140,0,57890.95,0,66.4,MonthlyHours,Salary,Tenure
EMP0053,39,Operations,Operations Specialist,151,33,66806.72,1,57.0,MonthlyHours,Tenure,LastPromotion
EMP0054,31,Marketing,VP of Marketing,168,25,146573.38,0,44.7,Market Competitiveness,Role Overload,MonthlyHours
EMP0055,30,Sales,Sales Manager,154,1,102445.2,0,36.7,Market Competitiveness,MonthlyHours,Role Overload
EMP0056,101,Marketing,Growth Hacker,179,16,60079.02,0,67.1,Tenure,Salary,LastPromotion
EMP0057,7,Operations,Operations Specialist,188,3,72787.34,0,41.7,Role Overload,Tenure,Market Competitiveness
EMP0058,26,Marketing,Marketing Specialist,164,14,75461.92,0,33.8,LastPromotion,Salary,Market Competitiveness
EMP0059,44,HR,VP of HR,149,21,182655.08,0,42.7,MonthlyHours,LastPromotion,Role Overload
EMP0060,27,Sales,VP of Sales,176,20,162754.79,0,33.1,LastPromotion,MonthlyHours,Market Competitiveness
EMP0061,82,Marketing,VP of Marketing,170,57,209668.44,1,49.9,Tenure,Market Competitiveness,Role Overload
EMP0062,26,Engineering,Senior Engineer,178,14,83386.89,0,51.3,MonthlyHours,Role Overload,Market Competitiveness
EMP0063,17,Operations,Director of Operations,183,8,143495.4,0,40.4,Market Competitiveness,Tenure,MonthlyHours
EMP0064,30,HR,HR Manager,173,10,101715.98,0,32.3,Role Overload,LastPromotion,Salary
EMP0065,55,Marketing,VP of Marketing,141,0,153747.02,0,39.3,Role Overload,Tenure,LastPromotion
EMP0066,60,HR,VP of HR,170,52,164503.7,0,67.5,Role Overload,Tenure,Market Competitiveness
EMP0067,20,Sales,Sales Manager,190,13,124964.86,0,25.7,Tenure,Market Competitiveness,LastPromotion
EMP0068,81,HR,Recruiter,174,35,74062.67,0,49.7,Tenure,Role Overload,Salary
